"Account type","Account type"
"Container Id","Container Id"
"Creative","Creative"
"Google Analytics","Google Analytics"
"Google Analytics Enhanced Ecommerce Settings","Google Analytics Enhanced Ecommerce Settings"
"Google Tag Manager","Google Tag Manager"
"List property for the catalog page","List property for the catalog page"
"List property for the cross-sell block","List property for the cross-sell block"
"List property for the related products block","List property for the related products block"
"List property for the search results page","List property for the search results page"
"List property for the up-sell block","List property for the up-sell block"
"No","No"
"Send to Google","Send to Google"
"Universal Analytics","Universal Analytics"
"Yes","Yes"
"’Internal Promotions’ for promotions field “Label”.","’Internal Promotions’ for promotions field “Label”."
